,country,additional_info,aka,designation,id,link,orgKey,source,hcp_id,hco_id
87,BRAZIL,,,,5346,,,openai,5346,B128
88,BRAZIL,,,,5479,,,openai,5479,B128
89,BRAZIL,,,,5493,,,openai,5493,B128
90,BRAZIL,,,,8109,,,openai,8109,B128
91,BRAZIL,,,,8109,,,openai,8109,B129
92,BRAZIL,,,,8117,,,openai,8117,B126
93,BRAZIL,,,,8117,,,openai,8117,B129
94,BRAZIL,,,,8121,,,openai,8121,B129
95,BRAZIL,,,,8231,,,openai,8231,B131
96,BRAZIL,,,,8235,,,openai,8235,B131
98,BRAZIL,,,,8243,,,openai,8243,B131
99,BRAZIL,,,,8247,,,openai,8247,B131
100,BRAZIL,,,,8247,,,openai,8247,B132
101,BRAZIL,,,,8784,,,openai,8784,B132
102,BRAZIL,,,,8788,,,openai,8788,B132
103,BRAZIL,,,,8792,,,openai,8792,B132
104,BRAZIL,,,,8796,,,openai,8796,B132
105,BRAZIL,,,,8796,,,openai,8796,B133
106,BRAZIL,,,,7368,,,openai,7368,B133
107,BRAZIL,,,,7389,,,openai,7389,B133
108,BRAZIL,,,,7545,,,openai,7545,B133
109,BRAZIL,,,,7666,,,openai,7666,B133
110,BRAZIL,,,,3890,,,openai,3890,B134
111,BRAZIL,,,,8629,,,openai,8629,B134
112,BRAZIL,,,,8629,,,openai,8629,B135
114,BRAZIL,,,,8637,,,openai,8637,B135
115,BRAZIL,,,,8641,,,openai,8641,B135
116,BRAZIL,,,,8645,,,orgIntel,8645,B135
117,BRAZIL,,,,8645,,,orgIntel,8645,B136
118,BRAZIL,,,,8533,,,openai,8533,B136
119,BRAZIL,,,,8537,,,orgIntel,8537,B136
120,BRAZIL,,,,8541,,,orgIntel,8541,B136
121,BRAZIL,,,,8545,,,openai,8545,B136
122,BRAZIL,,,,5878,,,openai,5878,B136
123,BRAZIL,,,,5878,,,openai,5878,B138
124,BRAZIL,,,,5927,,,orgIntel,5927,B138
125,BRAZIL,,,,6047,,,orgIntel,6047,B138
126,BRAZIL,,,,6402,,,openai,6402,B138
127,BRAZIL,,,,8153,,,openai,8153,B139
128,BRAZIL,,,,8157,,,openai,8157,B139
129,BRAZIL,,,,8161,,,openai,8161,B139
130,BRAZIL,,,,8165,,,openai,8165,B139
131,BRAZIL,,,,8169,,,orgIntel,8169,B139
132,BRAZIL,,,,8169,,,orgIntel,8169,B140
133,BRAZIL,,,,8868,,,openai,8868,B140
134,BRAZIL,,,,8868,,,openai,8868,B139
135,BRAZIL,,,,8872,,,orgIntel,8872,B140
136,BRAZIL,,,,8876,,,openai,8876,B140
137,BRAZIL,,,,8880,,,openai,8880,B140
138,BRAZIL,,,,8267,,,orgIntel,8267,B141
139,BRAZIL,,,,8275,,,orgIntel,8275,B141
140,BRAZIL,,,,8279,,,openai,8279,B141
141,BRAZIL,,,,8710,,,openai,8710,B141
142,BRAZIL,,,,8710,,,openai,8710,B142
143,BRAZIL,,,,8714,,,openai,8714,B142
144,BRAZIL,,,,8718,,,openai,8718,B142
145,BRAZIL,,,,8722,,,openai,8722,B142
146,BRAZIL,,,,8726,,,openai,8726,B142
147,BRAZIL,,,,4890,,,orgIntel,4890,B142
148,BRAZIL,,,,4890,,,orgIntel,4890,B143
